systime, frame, from, to, action_type, action_name, args
1691268920.101, 529, "system", "agent", "status", "spawn", 415
1691268922.058, 583, "system", "agent", "status", "start_record", "NONE"
1691268922.278, 592, "planner", "agent", "status", "at_junction", 3
1691268923.416, 607, "co_wizard", "agent", "decision", "park_off", "none"
1691268923.473, 608, "system", "dorothy", "system", "dorothy:co_wizard:parkoff"
1691268924.823, 625, "co_wizard", "agent", "decision", "speed_up", 5
1691268929.663, 682, "co_wizard", "agent", "decision", "speed_up", 5
1691268929.847, 684, "co_wizard", "agent", "decision", "speed_up", 5
1691268930.104, 687, "co_wizard", "agent", "decision", "speed_up", 5
1691268931.036, 697, "co_wizard", "agent", "plan", "next_road", 875
1691268944.673, 857, "planner", "agent", "decision", "stop", "red_light:386"
1691268945.731, 870, "planner", "agent", "decision", "restart", "none"
1691268945.812, 871, "planner", "agent", "status", "at_junction", 875
1691268952.313, 952, "co_wizard", "agent", "plan", "next_road", 298
1691268955.943, 997, "co_wizard", "agent", "decision", "lane_change_left"
1691268963.625, 1093, "co_wizard", "agent", "plan", "next_road", 263
1691268970.816, 1198, "planner", "agent", "decision", "stop", "red_light:376"
1691268971.398, 1207, "planner", "agent", "decision", "restart", "none"
1691268971.441, 1208, "planner", "agent", "status", "at_junction", 263
1691268974.577, 1254, "co_wizard", "agent", "plan", "next_road", 110
1691268985.936, 1400, "planner", "agent", "status", "at_junction", 110
1691268989.700, 1446, "co_wizard", "agent", "plan", "next_road", 1206
1691269014.492, 1729, "planner", "agent", "status", "at_junction", 1206
1691269016.389, 1752, "co_wizard", "agent", "plan", "next_road", 1100
1691269017.639, 1768, "planner", "agent", "status", "at_junction", 1100
1691269020.016, 1795, "co_wizard", "agent", "plan", "next_road", 1661
1691269031.176, 1929, "co_wizard", "agent", "decision", "speed_down", -5
1691269031.744, 1936, "co_wizard", "agent", "decision", "speed_down", -5
1691269032.295, 1943, "co_wizard", "agent", "decision", "speed_down", -5
1691269032.613, 1947, "planner", "agent", "status", "at_junction", 1661
1691269033.408, 1958, "co_wizard", "agent", "decision", "speed_down", -5
1691269038.095, 2019, "co_wizard", "agent", "decision", "lane_change_right"
1691269041.817, 2067, "system", "dorothy", "system", "dorothy:co_wizard:sb_reach:0"
1691269042.536, 2077, "co_wizard", "agent", "decision", "park_on"
1691269042.547, 2077, "system", "dorothy", "system", "dorothy:co_wizard:parkon"
